"DID","Start","End","Size","R/W","Name","Type","Units","Scale Factor","Contents","Description"
"64113","1","1","1","R","FX_DID","uint16","N/A","N/A","64113","Vendor Extension for OutBack FX Series 
Inverter Status Block"
"64113","2","2","1","R","FX_Length","uint16","Registers","N/A","32","Length of block in 16-bit registers"
"64113","3","3","1","R","FX_Port_number","uint16","N/A","N/A","0-10","Port number on Outback network"
"64113","4","4","1","R","FX_DC_Voltage_SF","int16","N/A","N/A","-1","DC Voltage Scale Factor"
"64113","5","5","1","R","FX_AC_Current_SF","int16","N/A","N/A","0","AC Current Scale Factor"
"64113","6","6","1","R","FX_AC_Voltage_SF","int16","N/A","N/A","0","AC Voltage Scale Factor"
"64113","7","7","1","R","FX_AC_Frequency_SF","int16","N/A","N/A","-1","AC Frequency Scale Factor"
"64113","8","8","1","R","FX_Inverter_Output_Current","uint16","Amps","FX_AC
_Current_SF","Measured","Inverter output current"
"64113","9","9","1","R","FX_Inverter_Charge_Current","uint16","Amps","FX_AC
_Current_SF","Measured","Inverter charger current"
"64113","10","10","1","R","FX_Inverter_Buy_Current","uint16","Amps","FX_AC
_Current_SF","Measured","Inverter buy current"
"64113","11","11","1","R","FX_Inverter_Sell_Current","uint16","Amps","FX_AC
_Current_SF","Measured","Inverter sell current"
"64113","12","12","1","R","FX_Output_AC_Voltage","uint16","Volts AC","FX_AC
_Voltage_SF","Measured","Output AC Voltage"
"64113","13","13","1","R","FX_Inverter_Operating_Mode","uint16","Enumerated","N/A","Read Only","0=Off, 1=Searching, 2=Inverting, 
3=Charging, 4=Silent, 5=Float, 6=EQ, 
7=Charger Off, 8=Support, 9=Selling, 
10=Pass through, 14=Offsetting"
"64113","14","14","1","R","FX_Error_Flags","uint16","Bitfield","N/A","Read Only","Bit field for errors  (see FX_Error Table)"
"64113","15","15","1","R","FX_Warning_Flags","uint16","Bitfield","N/A","Read Only","Bit field for warnings (see FX_Warning Table)"
"64113","16","16","1","R","FX_Battery_Voltage","uint16","Volts DC","FX_DC
_Voltage_SF","Measured","Battery Voltage"
"64113","17","17","1","R","FX_Temp_Compensated 
_Target_Voltage","uint16","Volts DC","FX_DC
_Voltage_SF","Read Only","Temperature compensated target battery 
voltage"
"64113","18","18","1","R","FX_AUX_Output_State","uint16","Enumerated","N/A","Read Only","0 = Disabled; 1 = Enabled"
"64113","19","19","1","R","FX_Transformer_Temperature","int16","Degrees C","N/A","Measured","Transformer temp in degrees C"
"64113","20","20","1","R","FX_Capacitor_Temperature","int16","Degrees C","N/A","Measured","Capacitor temp in degrees C"
"64113","21","21","1","R","FX_FET_Temperature","int16","Degrees C","N/A","Measured","FET temp in degrees C"
"64113","22","22","1","R","FX_AC_Input_Frequency","uint16","Hz","FX_AC_Freq
uency_SF","Measured","Selected AC Input frequency HZ"
"64113","23","23","1","R","FX_AC_Input_Voltage","uint16","Volts AC","FX_AC
_Voltage_SF","Measured","Selected Input AC Voltage"
"64113","24","24","1","R","FX_AC_Input_State","uint16","Enumerated","N/A","N/A","1=AC Use, 0=AC_Drop"
"64113","25","25","1","R","FX_Minimum_AC_Input 
_Voltage","uint16","Volts AC","FX_AC
_Voltage_SF","Read Only","Minimum Input AC Voltage 
(Write to clear value)"
"64113","26","26","1","R","FX_Maximum_AC_Input 
_Voltage","uint16","Volts AC","FX_AC
_Voltage_SF","Read Only","Maximum Input AC Voltage 
(Write to clear value)"
"64113","27","27","1","R","FX_Sell_Status","uint16","Bitfield","N/A","N/A","Bit field for sell status  
(see FX_Sell_Status Table)"
"64113","28","28","1","R","FX_kWh_SF","int16","N/A","N/A","-1","AC kWh scale factor"
"64113","29","29","1","R","FX_Buy_kWh","uint16","kWh","FX_kWh_SF","Measured","Daily Buy kWh"
"64113","30","30","1","R","FX_Sell_kWh","uint16","kWh","FX_kWh_SF","Measured","Daily Sell kWh"
"64113","31","31","1","R","FX_Output_kWh","uint16","kWh","FX_kWh_SF","Measured","Daily Output kWh"
"64113","32","32","1","R","FX_Charger_kWh","uint16","kWh","FX_kWh_SF","Measured","Daily Output kWh"
"64113","33","33","1","R","FX_Output_kW","uint16","kWh","FX_kWh_SF","Measured","Output kW"
"64113","34","34","1","R","FX_Buy_kW","uint16","kWh","FX_kWh_SF","Measured","Buy kW"
"64113","35","35","1","R","FX_Sell_kW","uint16","kWh","FX_kWh_SF","Measured","Sell kW"
"64113","36","36","1","R","FX_Charge_kW","uint16","kWh","FX_kWh_SF","Measured","Charger kW"
"64113","37","37","1","R","FX_Load_kW","uint16","kWh","FX_kWh_SF","Measured","Load kW"
"64113","38","38","1","R","FX_AC_Couple_kW","uint16","kWh","FX_kWh_SF","Measured","AC Coupled kW"
