"DID","Start","End","Size","R/W","Field Name","Type","Units","Scale Factor","Contents","Description"
"64110","1","1","1","R","OutBack_DID","uint16","N/A","N/A","64110","Uniquely identifies this as a SunSpec 
Outback Interface"
"64110","2","2","1","R","OutBack_Length","uint16","Registers","N/A","420","Length of block in 16-bit registers"
"64110","3","3","1","R","OutBack_Major_Firmware 
_Number","uint16","N/A","N/A","Read Only","OutBack Major firmware revision"
"64110","4","4","1","R","OutBack_Mid_Firmware 
_Number","uint16","N/A","N/A","Read Only","OutBack Mid firmware revision"
"64110","5","6","1","R","OutBack_Minor_Firmware 
_Number","uint16","N/A","N/A","Read Only","OutBack Minor firmware revision"
"64110","6","6","1","R","OutBack_Encryption_Key","uint16","N/A","N/A","Read Only","Encryption key for current session (0 = 
Encryption not enabled)"
"64110","7","13","7","R","OutBack_MAC_Address","string (14)","N/A","N/A","Read Only","Ethernet MAC address"
"64110","14","21","8","W","OutBack_Write_Password","string (16)","N/A","N/A","Write Only","Password required to write to any register"
"64110","22","22","1","R/W","OutBack_Enable_DHCP","uint16","Enumerated","N/A","Programmable","0 = DHCP Disabled, use configured network 
parameter; 1 = DHCP Enabled"
"64110","23","24","2","R/W","OutBack_TCP/IP_Address","uint32","Address","N/A","Programmable","TCP/IP Address xxx.xxx.xxx.xxx"
"64110","25","26","2","R/W","OutBack_TCP/IP_Gateway 
_MSW","uint32","Address","N/A","Programmable","TCP/IP Gateway xxx.xxx.xxx.xxx"
"64110","27","28","2","R/W","OutBack_TCP/IP_Netmask 
_MSW","uint32","Address","N/A","Programmable","TCP/IP Netmask xxx.xxx.xxx.xxx"
"64110","29","30","2","R/W","OutBack_TCP/IP_DNS_1_MSW","uint32","Address","N/A","Programmable","TCP/IP DNS 1 xxx.xxx.xxx.xxx"
"64110","31","32","2","R/W","OutBack_TCP/IP_DNS_2_MSW","uint32","Address","N/A","Programmable","TCP/IP DNS 2 xxx.xxx.xxx.xxx"
"64110","33","33","1","R/W","OutBack_Modbus_Port","uint16","N/A","N/A","Programmable","Outback MODBUS IP port, default 502"
"64110","34","53","20","R/W","OutBack_SMTP_Server_Name","string (40)","N/A","N/A","Programmable","Email server name"
"64110","54","69","16","R/W","OutBack_SMTP_Account_Name","string (32)","N/A","N/A","Programmable","Email account name"
"64110","70","70","1","R/W","OutBack_SMTP_SSL_Enable","uint16","Enumerated","N/A","Programmable","0 = SSL Disabled; 1 = SSL Enabled (not 
implemented)"
